,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,Dowload Rate,Upload Rate,State
0,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
1,2019.12.16_13.03.47,-8.394601,51.886139,5G,-102,-15,3.0,12,-86,0,0,I
2,2019.12.16_13.03.48,-8.394601,51.886139,5G,-102,-15,3.0,15,-84,0,0,I
3,2019.12.16_13.03.48,-8.394601,51.886139,5G,-100,-15,3.0,15,-84,0,0,I
4,2019.12.16_13.03.49,-8.394601,51.886139,5G,-100,-15,3.0,15,-84,11,1,D
5,2019.12.16_13.03.50,-8.394601,51.886139,5G,-102,-11,0.0,15,-84,0,0,D
6,2019.12.16_13.03.52,-8.394601,51.886139,5G,-102,-11,0.0,15,-84,0,0,I
7,2019.12.16_13.03.53,-8.394601,51.886139,5G,-101,-11,6.0,15,-84,111,29,D
8,2019.12.16_13.03.54,-8.394601,51.886139,5G,-101,-11,6.0,15,-84,1667,58,D
9,2019.12.16_13.03.55,-8.394601,51.886139,5G,-103,-11,7.0,15,-,33490,1013,D
10,2019.12.16_13.03.56,-8.394601,51.886139,5G,-103,-11,7.0,15,-,1544,50,D
11,2019.12.16_13.03.57,-8.394601,51.886139,5G,-101,-14,8.0,15,-,366,193,D
12,2019.12.16_13.03.58,-8.394601,51.886139,5G,-101,-14,8.0,15,-,15048,384,D
13,2019.12.16_13.03.59,-8.394601,51.886139,5G,-101,-13,6.0,13,-86,77790,416,D
14,2019.12.16_13.04.00,-8.394601,51.886139,5G,-101,-13,6.0,12,-84,107356,932,D
15,2019.12.16_13.04.01,-8.394601,51.886139,5G,-102,-13,-2.0,11,-87,0,0,D
16,2019.12.16_13.04.02,-8.394601,51.886139,5G,-102,-13,-2.0,11,-87,0,0,I
17,2019.12.16_13.04.03,-8.394601,51.886139,5G,-100,-11,4.0,15,-84,24318,142,D
18,2019.12.16_13.04.04,-8.394601,51.886139,5G,-100,-11,4.0,15,-,0,0,D
19,2019.12.16_13.04.05,-8.394601,51.886139,5G,-97,-11,9.0,15,-,0,0,I
20,2019.12.16_13.04.06,-8.394601,51.886139,5G,-97,-11,9.0,15,-,0,0,I
21,2019.12.16_13.04.08,-8.394601,51.886139,5G,-97,-12,-1.0,15,-,0,0,I
22,2019.12.16_13.04.09,-8.394601,51.886139,5G,-97,-12,-1.0,15,-,0,0,I
23,2019.12.16_13.04.10,-8.394601,51.886139,5G,-98,-13,0.0,10,-,0,0,I
24,2019.12.16_13.04.11,-8.394601,51.886139,5G,-98,-13,0.0,10,-,0,0,I
25,2019.12.16_13.04.12,-8.394601,51.886139,5G,-98,-12,2.0,10,-,0,0,I
26,2019.12.16_13.04.13,-8.394601,51.886139,5G,-98,-12,2.0,10,-,0,0,I
27,2019.12.16_13.04.14,-8.394601,51.886139,5G,-97,-11,0.0,10,-,2,4,D
28,2019.12.16_13.04.15,-8.394601,51.886139,5G,-97,-11,0.0,10,-,0,0,I
29,2019.12.16_13.04.16,-8.394601,51.886139,5G,-98,-14,0.0,10,-,2,5,D
30,2019.12.16_13.04.17,-8.394601,51.886139,5G,-98,-14,0.0,10,-,0,0,I
31,2019.12.16_13.04.18,-8.394601,51.886139,5G,-98,-13,0.0,10,-,2,4,D
32,2019.12.16_13.04.20,-8.394601,51.886139,5G,-98,-13,0.0,10,-,0,0,I
33,2019.12.16_13.04.21,-8.394601,51.886139,5G,-98,-11,4.0,10,-,0,0,I
34,2019.12.16_13.04.22,-8.394601,51.886139,5G,-98,-11,4.0,8,-,0,0,I
35,2019.12.16_13.04.23,-8.394601,51.886139,5G,-98,-11,5.0,8,-,0,0,I
36,2019.12.16_13.04.24,-8.394601,51.886139,5G,-98,-11,5.0,8,-,0,0,I
37,2019.12.16_13.04.25,-8.394601,51.886139,5G,-98,-11,3.0,8,-,0,0,I
38,2019.12.16_13.04.26,-8.394601,51.886139,5G,-98,-11,3.0,13,-,0,0,I
39,2019.12.16_13.04.27,-8.394601,51.886139,5G,-98,-12,-2.0,13,-,0,0,I
40,2019.12.16_13.04.28,-8.394601,51.886139,5G,-98,-12,-2.0,13,-,0,0,I
41,2019.12.16_13.04.29,-8.394601,51.886139,5G,-98,-13,-2.0,12,-82,0,0,I
42,2019.12.16_13.04.30,-8.394601,51.886139,5G,-98,-13,-2.0,12,-82,0,0,I
43,2019.12.16_13.04.31,-8.394601,51.886139,5G,-97,-10,-3.0,12,-82,0,0,I
44,2019.12.16_13.04.33,-8.394601,51.886139,5G,-97,-10,-3.0,11,-85,0,0,I
45,2019.12.16_13.04.34,-8.394601,51.886139,5G,-98,-14,-4.0,11,-85,0,0,I
46,2019.12.16_13.04.35,-8.394601,51.886139,5G,-98,-14,-4.0,11,-85,2,4,D
47,2019.12.16_13.04.36,-8.394601,51.886139,5G,-100,-12,0.0,11,-88,0,0,I
48,2019.12.16_13.04.37,-8.394601,51.886139,5G,-100,-12,0.0,11,-88,2,4,D
49,2019.12.16_13.04.38,-8.394601,51.886139,5G,-98,-15,1.0,11,-86,0,0,I
50,2019.12.16_13.04.39,-8.394601,51.886139,5G,-98,-15,1.0,11,-84,2,4,D
51,2019.12.16_13.04.40,-8.394601,51.886139,5G,-101,-13,-1.0,11,-84,1,0,D
52,2019.12.16_13.04.41,-8.394601,51.886139,5G,-101,-13,-1.0,11,-84,0,0,I
53,2019.12.16_13.04.42,-8.394601,51.886139,5G,-99,-12,7.0,11,-84,0,0,I
54,2019.12.16_13.04.43,-8.394601,51.886139,5G,-99,-12,7.0,11,-84,0,0,I
